Datetime,Open,High,Low,Close,Volume
2026-07-13 09:30:00,208.5399932861328,209.77999877929688,208.5200042724609,209.0800018310547,5631394.0
2026-07-13 09:31:00,209.0500030517578,209.9499969482422,208.8600006103516,209.8500061035156,648662.0
2026-07-13 09:32:00,209.8500061035156,210.22000122070312,209.22000122070312,210.2001037597656,1375848.0
2026-07-13 09:33:00,209.889892578125,209.8950042724609,209.889892578125,209.8950042724609,3496.0
2026-07-13 09:34:00,209.9199981689453,210.3000030517578,209.6699981689453,209.8999938964844,498191.0
2026-07-13 09:35:00,209.9199981689453,210.57000732421875,209.82000732421875,210.39990234375,664204.0
2026-07-13 09:36:00,210.33999633789065,210.39990234375,209.6300048828125,209.6999969482422,510359.0
2026-07-13 09:37:00,208.8999938964844,209.0500030517578,208.61099243164065,208.8600006103516,823748.0
2026-07-13 09:38:00,208.88999938964844,209.6699981689453,208.6100006103516,209.27670288085935,464480.0
2026-07-13 09:39:00,209.2700042724609,209.5,208.9499969482422,208.97000122070312,380349.0
2026-07-13 09:40:00,208.96499633789065,209.1300048828125,208.5850067138672,208.69000244140625,596575.0
2026-07-13 09:41:00,208.68499755859372,209.1300048828125,208.5500030517578,208.7899932861328,368350.0
2026-07-13 09:42:00,208.75059509277344,208.7899932861328,208.41000366210935,208.63999938964844,473341.0
2026-07-13 09:43:00,208.66000366210935,208.94000244140625,207.8300018310547,207.9149932861328,617513.0
2026-07-13 09:44:00,207.91000366210935,208.1195068359375,207.66000366210935,208.1100006103516,472529.0
2026-07-13 09:45:00,208.1000061035156,208.36990356445312,207.7799072265625,208.2100067138672,375446.0
2026-07-13 09:46:00,208.25,208.5399932861328,208.0800018310547,208.10499572753903,344155.0
2026-07-13 09:47:00,208.0912933349609,208.6300048828125,208.0,208.4250030517578,347500.0
2026-07-13 09:48:00,208.4199981689453,208.5800018310547,208.2700042724609,208.55999755859372,215072.0
2026-07-13 09:49:00,208.5500030517578,208.7899932861328,208.26499938964844,208.55999755859372,292686.0
2026-07-13 09:50:00,208.53500366210935,208.7998962402344,208.38499450683597,208.44000244140625,336373.0
2026-07-13 09:51:00,208.47999572753903,208.52999877929688,207.50999450683597,207.5800018310547,493184.0
2026-07-13 09:52:00,207.5601043701172,208.0592041015625,207.50999450683597,207.6100006103516,428024.0
2026-07-13 09:53:00,207.6000061035156,207.7100067138672,207.02999877929688,207.3650054931641,598227.0
2026-07-13 09:54:00,207.3500061035156,207.54800415039065,207.0500030517578,207.1199951171875,341275.0
2026-07-13 09:55:00,207.1100006103516,207.4499969482422,207.0200042724609,207.16000366210935,338356.0
2026-07-13 09:56:00,207.1499938964844,207.38999938964844,207.1199951171875,207.27999877929688,260677.0
2026-07-13 09:57:00,207.27999877929688,207.75,207.25079345703125,207.7001037597656,287677.0
2026-07-13 09:58:00,207.6699981689453,208.30560302734372,207.625,208.2899932861328,357546.0
2026-07-13 09:59:00,208.2700042724609,208.8300018310547,208.25,208.71499633789065,403369.0
2026-07-13 10:00:00,208.7100067138672,209.1499938964844,208.5500030517578,209.1499938964844,582439.0
2026-07-13 10:01:00,209.1699981689453,209.2100067138672,208.7700042724609,208.8800048828125,378644.0
2026-07-13 10:02:00,208.8699951171875,209.13999938964844,208.33999633789065,208.5299072265625,390509.0
2026-07-13 10:03:00,208.5050048828125,209.00999450683597,208.4199981689453,209.00999450683597,305375.0
2026-07-13 10:04:00,209.0,209.1300048828125,208.70030212402344,208.76510620117188,255980.0
2026-07-13 10:05:00,208.76499938964844,209.00999450683597,208.6699981689453,208.7796936035156,273219.0
2026-07-13 10:06:00,208.75,209.2100067138672,208.66000366210935,209.1000061035156,346820.0
2026-07-13 10:07:00,209.1100006103516,209.2700042724609,208.9499969482422,209.1999969482422,357387.0
2026-07-13 10:08:00,209.17999267578125,209.45950317382807,209.110107421875,209.2400054931641,348343.0
2026-07-13 10:09:00,209.22000122070312,209.5800018310547,209.12579345703125,209.5,263903.0
2026-07-13 10:10:00,209.5200042724609,209.5296936035156,209.30999755859372,209.46180725097656,213733.0
2026-07-13 10:11:00,209.46600341796875,209.4900054931641,209.22039794921875,209.30499267578125,231062.0
